ID_VENTA;FECHA;NUM_DOCUMENTO_VENDEDOR;ID_PRODUCTO;CANTIDAD;VALOR_TOTAL
V00001;2025-03-23;0128930595;PROD010;10;6631,72
V00002;2025-03-08;0942201763;PROD001;5;4734,60
V00003;2025-03-10;0724131204;PROD014;2;727,33
V00004;2025-03-15;0424046494;PROD010;5;4637,16
V00005;2025-03-20;0155940789;PROD010;3;807,25
V00006;2025-03-15;0517967272;PROD014;8;7983,56
V00007;2025-03-09;0374348994;PROD011;4;1036,27
V00008;2025-02-25;0927890567;PROD006;3;2650,35
V00009;2025-03-21;0063465125;PROD015;10;2150,97
V00010;2025-03-06;0702423284;PROD002;9;108,81
V00011;2025-03-20;0562710160;PROD010;1;921,28
V00012;2025-03-05;0242885291;PROD015;7;6556,30
V00013;2025-03-05;0546232821;PROD003;6;1833,17
V00014;2025-03-13;0543810679;PROD014;7;2172,55
V00015;2025-03-16;0393235979;PROD011;5;3456,14
V00016;2025-03-18;0482675386;PROD014;1;270,25
V00017;2025-03-16;0106509708;PROD007;3;865,85
V00018;2025-03-08;0945284190;PROD005;6;3636,88
V00019;2025-03-17;0185346179;PROD009;4;1105,73
V00020;2025-03-05;0788844537;PROD013;7;1467,12
