Tipo documento; ID vendedor; Numero documento; Edad; Sexo; Nombre; Apellido

CC;A4902;0141860528;26;Masculino;Pedro;Paez Gaviria
CC;A4903;0020081500;22;Masculino;Daniel;Olmo Carvajal
CC;A4915;0470435471;25;Masculino;Antonio;Paez Gaviria
CC;A4907;0028978121;18;Masculino;Pedro;Fort Garcia
CC;A4904;0437143509;24;Masculino;Paulo;Fort Garcia
CC;A4906;0332259789;22;Masculino;Pablo;Diaz Bellouli
CC;A4914;0403457932;20;Masculino;Paulo;Fort Garcia
CC;A4916;0053922035;25;Masculino;Daniel;Victor Delgado
CC;A4904;0684673493;20;Masculino;Pedro;Victor Delgado
CC;A4908;0429973718;18;Masculino;Raphael;Fort Garcia
