ID_VENTA;FECHA;NUM_DOCUMENTO_VENDEDOR;ID_PRODUCTO;CANTIDAD;VALOR_TOTAL
V00001;2025-04-13;0527337959;PROD012;6;3082,25
V00002;2025-04-05;0314085864;PROD003;2;257,23
V00003;2025-04-13;0631977192;PROD011;7;4410,66
V00004;2025-04-23;0475537261;PROD006;6;3049,15
V00005;2025-04-15;0970807773;PROD005;10;1402,02
V00006;2025-04-28;0334303499;PROD013;10;5869,75
V00007;2025-04-25;0982794719;PROD015;8;6670,85
V00008;2025-04-05;0913154369;PROD014;2;1355,40
V00009;2025-04-02;0693079583;PROD010;2;1904,32
V00010;2025-04-11;0219592931;PROD008;5;3812,32
V00011;2025-03-30;0437202053;PROD013;3;498,87
V00012;2025-04-16;0910636742;PROD001;3;1770,31
V00013;2025-03-30;0284872176;PROD001;10;7752,96
V00014;2025-04-01;0042729998;PROD011;1;825,47
V00015;2025-04-28;0934140431;PROD008;7;5685,27
V00016;2025-04-25;0938135325;PROD013;2;1318,54
V00017;2025-04-14;0100625121;PROD005;6;802,78
V00018;2025-04-02;0967489314;PROD004;1;11,24
V00019;2025-04-08;0644254678;PROD003;6;3260,93
V00020;2025-04-25;0014889028;PROD015;6;5039,77
